sequenceNum,timestamp,AIN0,AIN1
0,14:13:40,-0.0023112345952540636,-0.0009693865431472659
1,14:13:40,0.9973730444908142,-0.0008115220698527992
2,14:13:40,-0.0010483188088983297,-0.0008904542773962021
3,14:13:40,0.9966625571250916,-0.0008904542773962021
4,14:13:40,-0.002074437914416194,-0.0008904542773962021
5,14:13:40,0.9972941279411316,-0.0008904542773962021
6,14:13:40,-0.002232302213087678,-0.0008904542773962021
7,14:13:41,0.9972151517868042,-0.0009693865431472659
8,14:13:41,-0.002232302213087678,-0.0008904542773962021
9,14:13:41,0.9973730444908142,-0.0009693865431472659
10,14:13:41,-0.002232302213087678,0.9987940788269043
11,14:13:41,0.9972151517868042,0.9988729953765869
12,14:13:41,-0.0019955055322498083,0.9987940788269043
13,14:13:41,0.9972151517868042,0.9989519715309143
14,14:13:41,-0.0018376411171630025,0.9988729953765869
15,14:13:41,0.9974520206451416,0.9989519715309143
16,14:13:42,-0.0018376411171630025,0.9987940788269043
17,14:13:42,0.9970572590827942,0.9988729953765869
18,14:13:42,-0.0019955055322498083,0.9988729953765869
19,14:13:42,0.9973730444908142,0.9987940788269043
20,14:13:42,-0.002074437914416194,-0.0007325898041017354
21,14:13:42,0.9974520206451416,-0.0010483188088983297
22,14:13:42,-0.0012851154897361994,-0.0009693865431472659
23,14:13:42,0.9972941279411316,-0.0008904542773962021
24,14:13:42,-0.0018376411171630025,-0.0009693865431472659
25,14:13:43,0.9967414736747742,-0.0008904542773962021
26,14:13:43,-0.002074437914416194,-0.0008115220698527992
27,14:13:43,0.9972941279411316,-0.0008904542773962021
28,14:13:43,-0.0013640477554872632,-0.0010483188088983297
29,14:13:43,0.9975309371948242,-0.0008904542773962021
30,14:13:43,-0.0019165733829140663,0.9987940788269043
31,14:13:43,0.9976888298988342,0.9988729953765869
32,14:13:43,-0.0016008444363251328,0.9988729953765869
33,14:13:43,0.9972151517868042,0.9987940788269043
34,14:13:44,-0.0016797767020761967,0.9988729953765869
35,14:13:44,0.9972941279411316,0.9988729953765869
36,14:13:44,-0.0018376411171630025,0.9988729953765869
37,14:13:44,0.9972151517868042,0.9988729953765869
38,14:13:44,-0.0017587088514119387,0.9988729953765869
39,14:13:44,0.9972151517868042,0.9987940788269043
40,14:13:44,-0.002232302213087678,-0.0007325898041017354
41,14:13:44,0.9973730444908142,-0.0008904542773962021
42,14:13:44,-0.0018376411171630025,-0.0009693865431472659
43,14:13:44,0.9972941279411316,-0.0008904542773962021
44,14:13:45,-0.002153370063751936,-0.0010483188088983297
45,14:13:45,0.9972941279411316,-0.0009693865431472659
46,14:13:45,-0.0018376411171630025,-0.0009693865431472659
47,14:13:45,0.9972941279411316,-0.0008904542773962021
48,14:13:45,-0.002153370063751936,-0.0009693865431472659
49,14:13:45,0.9972941279411316,-0.0008904542773962021
50,14:13:45,-0.002074437914416194,0.9987940788269043
51,14:13:45,0.9971362352371216,0.9988729953765869
52,14:13:45,-0.0018376411171630025,0.9988729953765869
53,14:13:46,0.9973730444908142,0.9987940788269043
54,14:13:46,-0.0017587088514119387,0.9987940788269043
55,14:13:46,0.9973730444908142,0.9987940788269043
56,14:13:46,-0.0018376411171630025,0.9988729953765869
57,14:13:46,0.9974520206451416,0.9987940788269043
58,14:13:46,-0.0018376411171630025,0.9987940788269043
59,14:13:46,0.9972151517868042,0.9987940788269043
60,14:13:46,-0.002074437914416194,-0.0008115220698527992
61,14:13:46,0.9974520206451416,-0.0009693865431472659
62,14:13:47,-0.0019955055322498083,-0.0008904542773962021
63,14:13:47,0.9974520206451416,-0.0010483188088983297
64,14:13:47,-0.002074437914416194,-0.0009693865431472659
65,14:13:47,0.9971362352371216,-0.0008904542773962021
66,14:13:47,-0.0019165733829140663,-0.0009693865431472659
67,14:13:47,0.9970572590827942,-0.0008904542773962021
68,14:13:47,-0.0018376411171630025,-0.0008904542773962021
69,14:13:47,0.9972941279411316,-0.0008904542773962021
70,14:13:47,-0.002153370063751936,0.9987151026725769
71,14:13:48,0.9972941279411316,0.9989519715309143
72,14:13:48,-0.0013640477554872632,0.9988729953765869
73,14:13:48,0.9973730444908142,0.9988729953765869
74,14:13:48,-0.0019165733829140663,0.9988729953765869
75,14:13:48,0.9976098537445068,0.9988729953765869
76,14:13:48,-0.0019955055322498083,0.9988729953765869
77,14:13:48,0.9974520206451416,0.9989519715309143
78,14:13:48,-0.0019955055322498083,0.9988729953765869
79,14:13:48,0.9971362352371216,0.9989519715309143
80,14:13:49,-0.002153370063751936,-0.0008115220698527992
81,14:13:49,0.9972941279411316,-0.0008904542773962021
82,14:13:49,-0.001521912170574069,-0.0008904542773962021
83,14:13:49,0.9971362352371216,-0.0008904542773962021
84,14:13:49,-0.0019955055322498083,-0.0009693865431472659
85,14:13:49,0.9974520206451416,-0.0008904542773962021
86,14:13:49,-0.0019955055322498083,-0.0008904542773962021
87,14:13:49,0.9973730444908142,-0.0009693865431472659
88,14:13:49,-0.002074437914416194,-0.0009693865431472659
89,14:13:50,0.9972151517868042,-0.0008904542773962021
90,14:13:50,-0.002153370063751936,0.9987940788269043
91,14:13:50,0.9972151517868042,0.9989519715309143
92,14:13:50,-0.002074437914416194,0.9987940788269043
93,14:13:50,0.9973730444908142,0.9988729953765869
94,14:13:50,-0.001521912170574069,0.9988729953765869
95,14:13:50,0.9973730444908142,0.9988729953765869
96,14:13:50,-0.0018376411171630025,0.9988729953765869
97,14:13:50,0.9973730444908142,0.9987940788269043
98,14:13:51,-0.0018376411171630025,0.9988729953765869
