Sample,X(ms) [01.01.2012 00:43:32 549 UTC],"labjack_in[%IW64]","labjack_norm[%MD66]","labjack_value[%MD68]"
5854,1325378613154.936260,2525,0.0916757732629776,-4.08673334121704
5855,1325378613156.816220,2457,0.0892343744635582,-4.111328125
5856,1325378613158.618520,2457,0.0892343744635582,-4.111328125
5857,1325378613160.418140,2457,0.0892343744635582,-4.111328125
5858,1325378613162.231260,2457,0.0892343744635582,-4.111328125
5859,1325378613163.860980,2457,0.0892343744635582,-4.111328125
5860,1325378613165.690460,2252,0.0814218893647194,-4.18547439575195
5861,1325378613167.502400,2252,0.0814218893647194,-4.18547439575195
5862,1325378613169.286120,2252,0.0814218893647194,-4.18547439575195
5863,1325378613171.581440,2252,0.0814218893647194,-4.18547439575195
5864,1325378613173.431260,1945,0.0706797316670418,-4.29651308059692
5865,1325378613175.379160,1945,0.0706797316670418,-4.29651308059692
5866,1325378613177.171100,1945,0.0706797316670418,-4.29651308059692
5867,1325378613178.820880,1945,0.0706797316670418,-4.29651308059692
5868,1325378613180.651480,1945,0.0706797316670418,-4.29651308059692
5869,1325378613182.462740,1569,0.0568242557346821,-4.43250846862793
5870,1325378613184.278740,1569,0.0568242557346821,-4.43250846862793
5871,1325378613185.942580,1569,0.0568242557346821,-4.43250846862793
5872,1325378613187.858520,1569,0.0568242557346821,-4.43250846862793
5873,1325378613189.661680,1126,0.0407109931111336,-4.59273719787598
5874,1325378613191.471500,1126,0.0407109931111336,-4.59273719787598
5875,1325378613193.289240,1126,0.0407109931111336,-4.59273719787598
5876,1325378613194.968040,1126,0.0407109931111336,-4.59273719787598
5877,1325378613196.793080,1126,0.0407109931111336,-4.59273719787598
5878,1325378613198.605740,716,0.0259707402437925,-4.74103021621704
5879,1325378613200.398940,716,0.0259707402437925,-4.74103021621704
5880,1325378613202.185000,716,0.0259707402437925,-4.74103021621704
5881,1325378613204.329880,716,0.0259707402437925,-4.74103021621704
5882,1325378613206.198380,716,0.0259707402437925,-4.74103021621704
5883,1325378613207.809100,375,0.0135957254096866,-4.86436653137207
5884,1325378613209.646100,375,0.0135957254096866,-4.86436653137207
5885,1325378613211.468840,375,0.0135957254096866,-4.86436653137207
5886,1325378613213.248980,375,0.0135957254096866,-4.86436653137207
5887,1325378613214.953040,204,0.00737769762054086,-4.92621517181396
5888,1325378613216.780960,204,0.00737769762054086,-4.92621517181396
5889,1325378613218.600100,204,0.00737769762054086,-4.92621517181396
5890,1325378613220.389720,204,0.00737769762054086,-4.92621517181396
5891,1325378613222.185100,204,0.00737769762054086,-4.92621517181396
5892,1325378613223.838220,102,0.00368884904310107,-4.96310758590698
5893,1325378613225.657180,102,0.00368884904310107,-4.96310758590698
5894,1325378613227.454440,102,0.00368884904310107,-4.96310758590698
5895,1325378613229.273500,102,0.00368884904310107,-4.96310758590698
5896,1325378613230.918060,102,0.00368884904310107,-4.96310758590698
5897,1325378613232.744300,34,0.00123407307546586,-4.98770236968994
5898,1325378613234.587840,34,0.00123407307546586,-4.98770236968994
5899,1325378613236.374680,34,0.00123407307546586,-4.98770236968994
5900,1325378613238.191020,34,0.00123407307546586,-4.98770236968994
5901,1325378613239.845720,34,0.00123407307546586,-4.98770236968994
5902,1325378613241.661400,34,0.00123407307546586,-4.98770236968994
5903,1325378613243.438800,34,0.00123407307546586,-4.98770236968994
5904,1325378613245.282880,34,0.00123407307546586,-4.98770236968994
5905,1325378613246.954060,34,0.00123407307546586,-4.98770236968994
5906,1325378613248.745980,0,6.91008298727854E-41,-5
5907,1325378613250.540100,0,6.91008298727854E-41,-5
5908,1325378613252.345360,0,6.91008298727854E-41,-5
5909,1325378613254.171360,0,6.91008298727854E-41,-5
5910,1325378613255.838940,0,6.91008298727854E-41,-5
5911,1325378613257.716080,0,6.91008298727854E-41,-5
5912,1325378613259.522320,0,6.91008298727854E-41,-5
5913,1325378613261.332420,0,6.91008298727854E-41,-5
5914,1325378613263.160940,0,6.91008298727854E-41,-5
5915,1325378613264.832080,0,6.91008298727854E-41,-5
5916,1325378613266.639600,0,6.91008298727854E-41,-5
5917,1325378613268.462680,0,6.91008298727854E-41,-5
5918,1325378613270.439260,0,6.91008298727854E-41,-5
5919,1325378613272.238000,0,6.91008298727854E-41,-5
5920,1325378613273.909520,0,6.91008298727854E-41,-5
5921,1325378613275.766440,0,6.91008298727854E-41,-5
5922,1325378613277.554800,0,6.91008298727854E-41,-5
5923,1325378613279.361560,0,6.91008298727854E-41,-5
5924,1325378613281.177000,0,6.91008298727854E-41,-5
5925,1325378613282.817340,0,6.91008298727854E-41,-5
5926,1325378613284.668660,0,6.91008298727854E-41,-5
5927,1325378613286.472100,0,6.91008298727854E-41,-5
5928,1325378613288.280800,0,6.91008298727854E-41,-5
5929,1325378613289.916300,0,6.91008298727854E-41,-5
5930,1325378613291.732900,0,6.91008298727854E-41,-5
5931,1325378613293.543320,0,6.91008298727854E-41,-5
5932,1325378613295.369540,0,6.91008298727854E-41,-5
5933,1325378613297.190300,0,6.91008298727854E-41,-5
5934,1325378613298.857700,0,6.91008298727854E-41,-5
5935,1325378613300.633640,0,6.91008298727854E-41,-5
5936,1325378613302.429440,0,6.91008298727854E-41,-5
5937,1325378613304.553200,0,6.91008298727854E-41,-5
5938,1325378613306.383740,0,6.91008298727854E-41,-5
5939,1325378613308.171140,0,6.91008298727854E-41,-5
5940,1325378613309.839840,0,6.91008298727854E-41,-5
5941,1325378613311.649380,0,6.91008298727854E-41,-5
5942,1325378613313.443020,0,6.91008298727854E-41,-5
5943,1325378613315.892080,0,6.91008298727854E-41,-5
5944,1325378613318.382660,0,6.91008298727854E-41,-5
5945,1325378613320.782960,0,6.91008298727854E-41,-5
5946,1325378613323.261140,0,6.91008298727854E-41,-5
5947,1325378613325.668480,0,6.91008298727854E-41,-5
5948,1325378613328.205700,0,6.91008298727854E-41,-5
5949,1325378613330.557140,0,6.91008298727854E-41,-5
5950,1325378613333.135800,0,6.91008298727854E-41,-5
5951,1325378613335.463820,0,6.91008298727854E-41,-5
5952,1325378613337.244600,0,6.91008298727854E-41,-5
5953,1325378613339.636640,0,6.91008298727854E-41,-5
5954,1325378613342.136640,0,6.91008298727854E-41,-5
5955,1325378613344.465220,0,6.91008298727854E-41,-5
5956,1325378613346.841180,0,6.91008298727854E-41,-5
5957,1325378613349.260720,0,6.91008298727854E-41,-5
5958,1325378613351.589940,0,6.91008298727854E-41,-5
5959,1325378613353.937120,0,6.91008298727854E-41,-5
5960,1325378613356.508780,0,6.91008298727854E-41,-5
5961,1325378613358.899920,0,6.91008298727854E-41,-5
5962,1325378613360.818320,0,6.91008298727854E-41,-5
5963,1325378613363.429760,0,6.91008298727854E-41,-5
5964,1325378613365.919540,0,6.91008298727854E-41,-5
5965,1325378613368.480420,0,6.91008298727854E-41,-5
5966,1325378613370.920320,0,6.91008298727854E-41,-5
5967,1325378613373.511860,0,6.91008298727854E-41,-5
5968,1325378613375.850520,0,6.91008298727854E-41,-5
5969,1325378613378.400620,0,6.91008298727854E-41,-5
5970,1325378613380.830600,0,6.91008298727854E-41,-5
5971,1325378613383.336060,0,6.91008298727854E-41,-5
5972,1325378613385.744640,0,6.91008298727854E-41,-5
5973,1325378613388.293820,0,6.91008298727854E-41,-5
5974,1325378613390.644080,0,6.91008298727854E-41,-5
